,Source,Target,l2d,jsd,Adaptivity,Source Accuracy,serving,finetune,max_voting_jsd_%,max_voting_Adaptivity_%,max_voting_l2d_%,max_voting_Source Accuracy_%
48,dsads_ll,dsads_t,0.5095580512054948,0.014866397621845023,4.0,0.6979166865348816,0.4889322817325592,0.5703125,88.17708333333333,,88.17708333333333,
96,oppo_lua,dsads_t,1.798232592707144,0.10831145265509759,11.0,0.8845770955085754,0.470703125,0.5885416865348816,,73.28125,,
108,oppo_lla,dsads_t,1.7046804712637247,0.10446036072610122,11.0,0.8328357934951782,0.4010416567325592,0.5755208134651184,,98.02083333333333,,
36,dsads_rl,dsads_t,0.4793651853066252,0.019387810270899968,4.0,0.6432291865348816,0.3424479067325592,0.5807291865348816,75.72916666666667,,75.72916666666667,
72,oppo_rua,dsads_t,1.7820907163141346,0.10702449369993723,11.0,0.8975124359130859,0.3170572817325592,0.5748698115348816,,77.70833333333333,,97.60416666666667
144,pamap_a,dsads_t,1.4032817639709885,0.036235884046336514,7.0,0.7226753830909729,0.2825520932674408,0.5748698115348816,,,,
84,oppo_rla,dsads_t,1.8431480691023543,0.11617026946131603,11.0,0.841791033744812,0.2766927182674408,0.5716145634651184,,,,
60,oppo_b,dsads_t,1.6996828937403938,0.08717778526442255,11.0,0.9104477763175964,0.2591145932674408,0.5579426884651184,,,,19.010416666666664
120,pamap_w,dsads_t,1.713111541394214,0.041491341550707966,7.0,0.809135377407074,0.251953125,0.6080729365348816,,,,
132,pamap_c,dsads_t,1.3512338985024208,0.03798386860050876,7.0,0.8988580703735352,0.251953125,0.58984375,,,,82.34375
51,dsads_ll,dsads_rl,0.3369487506769004,0.005561654572375703,4.0,0.6979166865348816,0.6627604365348816,0.68359375,60.20833333333333,,81.71875,
2,dsads_t,dsads_rl,0.4793651853066252,0.019387810270899968,4.0,0.609375,0.5904948115348816,0.6484375,,,90.26041666666667,
26,dsads_la,dsads_rl,0.8503861583097125,0.01663478555272986,4.0,0.71875,0.5130208134651184,0.6555989384651184,85.83333333333333,,,
14,dsads_ra,dsads_rl,0.5938262040560552,0.012355798344266224,4.0,0.7473958134651184,0.4967447817325592,0.6783854365348816,93.59375,,69.94791666666667,
99,oppo_lua,dsads_rl,1.8809556035228476,0.10458933241553935,11.0,0.8845770955085754,0.4700520932674408,0.6490885615348816,,75.57291666666667,,
111,oppo_lla,dsads_rl,1.774471787656711,0.10648147950541437,11.0,0.8328357934951782,0.37890625,0.6419270634651184,,97.13541666666666,,
75,oppo_rua,dsads_rl,1.859684760014914,0.1068354856838819,11.0,0.8975124359130859,0.3470052182674408,0.6712239384651184,,89.01041666666667,,98.85416666666667
63,oppo_b,dsads_rl,1.779332527975316,0.08797092649486808,11.0,0.9104477763175964,0.3365885317325592,0.6588541865348816,,,,37.03125
87,oppo_rla,dsads_rl,1.8909394709675562,0.1118260480764246,11.0,0.841791033744812,0.26953125,0.6497395634651184,,,,
123,pamap_w,dsads_rl,1.791822043928723,0.04889199356962531,7.0,0.809135377407074,0.251953125,0.6471354365348816,,,,
135,pamap_c,dsads_rl,1.4893144431976322,0.05265581836314931,7.0,0.8988580703735352,0.251953125,0.6569010615348816,,,,71.61458333333334
147,pamap_a,dsads_rl,1.427836502119742,0.03854693541573591,7.0,0.7226753830909729,0.224609375,0.6490885615348816,,,,
25,dsads_la,dsads_ra,0.39683280842801816,0.008943473573100293,4.0,0.71875,0.7115885615348816,0.6979166865348816,72.23958333333333,,74.42708333333333,
0,dsads_t,dsads_ra,0.5050513366216035,0.01797711242117366,4.0,0.609375,0.5716145634651184,0.7057291865348816,,,84.84375,
97,oppo_lua,dsads_ra,1.7333877930705908,0.09106458800517948,11.0,0.8845770955085754,0.55859375,0.7115885615348816,,85.26041666666667,,
49,dsads_ll,dsads_ra,0.46232994720888765,0.01139584285440105,4.0,0.6979166865348816,0.5110676884651184,0.708984375,83.4375,,79.79166666666667,
37,dsads_rl,dsads_ra,0.5938262040560552,0.012355798344266224,4.0,0.6432291865348816,0.509765625,0.69921875,82.76041666666667,,,
109,oppo_lla,dsads_ra,1.6158220643450683,0.09067867088027527,11.0,0.8328357934951782,0.4661458432674408,0.71484375,,99.01041666666667,,
73,oppo_rua,dsads_ra,1.7274281231958557,0.09320989343918468,11.0,0.8975124359130859,0.4010416567325592,0.71484375,,76.5625,,96.66666666666667
85,oppo_rla,dsads_ra,1.76639003584518,0.09771409401300024,11.0,0.841791033744812,0.376953125,0.7122395634651184,,,,
61,oppo_b,dsads_ra,1.6705617544344264,0.07616388049840961,11.0,0.9104477763175964,0.306640625,0.7083333134651184,,,,37.395833333333336
133,pamap_c,dsads_ra,1.2707840553120116,0.03707095810490852,7.0,0.8988580703735352,0.2584635317325592,0.6966145634651184,,,,68.69791666666667
121,pamap_w,dsads_ra,1.5787195774400735,0.03285874509306591,7.0,0.809135377407074,0.2526041567325592,0.7109375,,,,
145,pamap_a,dsads_ra,1.2798962699267704,0.028512254276796392,7.0,0.7226753830909729,0.244140625,0.7018229365348816,,,,
39,dsads_rl,dsads_ll,0.3369487506769004,0.005561654572375703,4.0,0.6432291865348816,0.6712239384651184,0.6634114384651184,57.08333333333333,,70.46875,
3,dsads_t,dsads_ll,0.5095580512054948,0.014866397621845023,4.0,0.609375,0.58984375,0.6328125,,,89.11458333333333,
27,dsads_la,dsads_ll,0.7088186057835476,0.01425786729750983,4.0,0.71875,0.5442708134651184,0.650390625,94.32291666666667,,,
15,dsads_ra,dsads_ll,0.46232994720888765,0.01139584285440105,4.0,0.7473958134651184,0.5078125,0.6419270634651184,87.34375,,70.20833333333333,
100,oppo_lua,dsads_ll,1.8800569985636837,0.09885740420530795,11.0,0.8845770955085754,0.4934895932674408,0.6725260615348816,,85.05208333333333,,
112,oppo_lla,dsads_ll,1.7771161128939543,0.09917536617438376,11.0,0.8328357934951782,0.4479166567325592,0.6510416865348816,,98.54166666666667,,
76,oppo_rua,dsads_ll,1.8683531308456267,0.10048077418569226,11.0,0.8975124359130859,0.3815104067325592,0.669921875,,83.69791666666667,,96.92708333333333
64,oppo_b,dsads_ll,1.7607823429856018,0.082693666253095,11.0,0.9104477763175964,0.294921875,0.6360676884651184,,,,43.22916666666667
